case_number,unit_ref,unit_build_year,case_status,case_type,case_sub_type,case_create_date
Case0,Unit8230,2005,Resolved,ASB,,21/02/2019 10:20
Case1,Unit7377,1880,Resolved,Service Charges,Invoice/Breakdown Request,20/05/2019 08:23
Case2,Unit2402,2008,Resolved,ASB,,20/05/2019 08:47
Case3,Unit9567,1935,Resolved,Query,,20/05/2019 08:55
Case4,Unit7956,2014,Resolved,Query,,20/05/2019 09:04
Case5,Unit8709,1999,Resolved,Query,,20/05/2019 09:07
Case6,Unit4237,1984,Resolved,Service Charges,Invoice/Breakdown Request,20/05/2019 09:12
Case7,Unit9232,1890,Resolved,Query,,20/05/2019 09:48
Case8,Unit7355,1999,Resolved,Complaints,,20/05/2019 09:53
Case9,Unit9604,1998,Resolved,Query,,20/05/2019 09:58
Case10,Unit6526,2007,Resolved,Query,,20/05/2019 10:07
Case11,Unit9604,1998,Resolved,Query,,20/05/2019 10:27
Case12,Unit8633,1930,Resolved,Query,,20/05/2019 10:36
Case13,Unit3215,2016,Resolved,Service Charges,Calculation/Apportionment Query,20/05/2019 10:47
Case14,Unit587,1953,Active,ASB,,20/05/2019 11:11
Case15,Unit3064,2008,Resolved,Service Charges,Invoice/Breakdown Request,20/05/2019 11:20
Case16,Unit587,1953,Resolved,Query,,20/05/2019 11:30
Case17,Unit5750,1996,Resolved,Complaints,,20/05/2019 11:55
Case18,Unit5659,1993,Resolved,Query,,20/05/2019 12:30
Case19,Unit3491,1976,Resolved,Query,,20/05/2019 12:30
Case20,Unit3592,2012,Resolved,Complaints,,20/05/2019 12:51
Case21,Unit9556,1973,Resolved,Query,,20/05/2019 12:53
Case22,Unit8790,1993,Resolved,ASB,,20/05/2019 13:12
Case23,Unit1534,1978,Resolved,Income,Account Enquiry,20/05/2019 13:14
Case24,Unit947,1955,Resolved,Query,,20/05/2019 13:20
Case25,Unit2525,2016,Active,Home Ownership,Subletting Homeowner,20/05/2019 13:26
Case26,Unit9676,2007,Resolved,Home Ownership,Landlord Enquiry,20/05/2019 13:43
Case27,Unit7661,1998,Resolved,Query,,20/05/2019 13:53
Case28,Unit9973,2009,Resolved,Complaints,,20/05/2019 13:54
Case29,Unit3181,2013,Resolved,Query,,20/05/2019 14:09
Case30,Unit6957,2008,Resolved,Complaints,,20/05/2019 14:29
