unit_ref,tenancy_id,tenancy_start_date,tenancy_end_date
Unit6324,Tenant0,14/04/2014,
Unit48,Tenant1,11/04/2011,
Unit4759,Tenant2,12/08/2002,
Unit9008,Tenant3,18/05/2015,
Unit272,Tenant4,01/02/2010,
Unit3827,Tenant5,17/09/2018,
Unit6071,Tenant6,27/02/2012,
Unit7221,Tenant7,30/05/2011,
Unit123,Tenant8,11/01/2016,
Unit706,Tenant9,22/12/2003,
Unit4789,Tenant10,19/10/2015,13/10/2019
Unit4789,Tenant11,14/10/2019,
Unit2523,Tenant12,01/01/2007,
Unit9298,Tenant13,03/01/2011,
Unit9450,Tenant14,23/08/1982,
Unit3337,Tenant15,06/01/1992,21/06/2020
Unit3337,Tenant16,26/10/2020,
Unit8913,Tenant17,09/05/2016,
Unit5639,Tenant18,12/02/2007,
Unit3147,Tenant19,07/05/2001,
Unit4733,Tenant20,17/10/2011,
Unit7769,Tenant21,31/05/2010,
Unit4777,Tenant22,10/12/1990,
Unit3533,Tenant23,31/01/2000,
Unit467,Tenant24,15/09/2014,
Unit524,Tenant25,21/06/1993,
Unit5990,Tenant26,27/04/2011,09/07/2020
Unit5990,Tenant27,09/07/2020,
Unit5113,Tenant28,21/09/2009,
Unit21,Tenant29,12/07/2010,
Unit8168,Tenant30,15/05/2017,
Unit9634,Tenant31,19/04/2010,
Unit8038,Tenant32,24/11/2014,
Unit6310,Tenant33,06/07/2015,
Unit902,Tenant34,01/11/1999,
Unit6118,Tenant35,04/02/2008,
Unit6373,Tenant36,16/06/1997,
Unit7859,Tenant37,01/07/1991,
Unit8839,Tenant38,24/05/2010,
Unit9938,Tenant39,24/10/2011,
Unit4796,Tenant40,03/05/2004,
Unit8148,Tenant41,16/10/2000,
Unit3769,Tenant42,11/09/2006,
Unit2740,Tenant43,09/01/1995,
Unit1924,Tenant44,18/08/2003,
Unit9991,Tenant45,28/09/2009,
Unit7110,Tenant46,31/05/1993,
Unit1249,Tenant47,13/08/1983,
Unit3673,Tenant48,29/02/2016,28/02/2021
Unit3088,Tenant49,05/02/2018,
Unit7608,Tenant50,26/02/2018,
Unit125,Tenant51,26/06/1989,
Unit9338,Tenant52,26/02/2018,
Unit2278,Tenant53,22/05/2006,
Unit4033,Tenant54,04/07/2011,01/11/2020
Unit4033,Tenant55,02/11/2020,
Unit6270,Tenant56,24/05/2010,
Unit2738,Tenant57,28/10/1991,
Unit1025,Tenant58,08/03/1982,
Unit3562,Tenant59,12/10/2015,
Unit3893,Tenant60,04/03/2019,
Unit2972,Tenant61,17/02/2003,20/01/2019
Unit2972,Tenant62,15/07/2019,
Unit310,Tenant63,23/10/1995,
Unit88,Tenant64,03/09/2007,
Unit3991,Tenant65,21/12/2015,
Unit855,Tenant66,14/09/2009,
Unit4516,Tenant67,22/07/2019,
Unit9717,Tenant68,15/11/1993,
Unit9639,Tenant69,09/08/2004,
Unit5091,Tenant70,08/09/2017,
Unit9875,Tenant71,19/11/2007,
Unit5743,Tenant72,16/06/2014,
Unit315,Tenant73,13/12/1993,
Unit5924,Tenant74,09/07/2012,
Unit5640,Tenant75,15/07/1996,04/10/2020
Unit537,Tenant76,09/12/2013,
Unit3917,Tenant77,12/05/2008,28/02/2021
Unit4483,Tenant78,11/07/1977,
Unit3576,Tenant79,14/04/2014,
Unit7922,Tenant80,30/03/2009,09/08/2020
Unit7922,Tenant81,09/11/2020,
Unit178,Tenant82,04/04/2011,
Unit3508,Tenant83,24/08/2009,
Unit883,Tenant84,15/03/2004,17/01/2021
Unit594,Tenant85,04/07/2016,
Unit2791,Tenant86,23/02/2009,06/10/2019
Unit2791,Tenant87,24/02/2020,
Unit2303,Tenant88,28/06/2012,
Unit7486,Tenant89,17/03/2003,
Unit2084,Tenant90,07/02/2005,
Unit8744,Tenant91,01/10/2018,
Unit626,Tenant92,15/12/2014,
Unit9926,Tenant93,15/02/2016,
Unit6891,Tenant94,10/08/2009,
Unit6545,Tenant95,17/03/2014,10/05/2020
Unit3054,Tenant96,05/09/2016,29/03/2020
Unit3054,Tenant97,10/08/2020,
Unit9527,Tenant98,24/05/1999,
Unit1758,Tenant99,17/09/2014,
Unit4632,Tenant100,10/10/1994,21/02/2021
Unit405,Tenant101,27/10/1997,
Unit1892,Tenant102,13/07/1998,
Unit5617,Tenant103,05/08/2019,
Unit3701,Tenant104,26/07/2010,
Unit6505,Tenant105,25/10/2010,24/11/2019
Unit6505,Tenant106,06/07/2020,
Unit1846,Tenant107,12/07/2010,
Unit853,Tenant108,15/04/2013,21/03/2021
Unit86,Tenant109,20/07/2009,
Unit1243,Tenant110,23/12/2013,
Unit9172,Tenant111,30/07/2012,
Unit753,Tenant112,15/04/2013,
Unit6936,Tenant113,06/10/1997,
Unit4743,Tenant114,02/06/2014,
Unit4163,Tenant115,29/03/2004,
Unit8133,Tenant116,22/10/2018,13/12/2020
Unit2222,Tenant117,23/07/2007,
Unit3180,Tenant118,30/04/2012,
Unit6313,Tenant119,14/12/2009,
Unit8149,Tenant120,01/07/2002,11/10/2020
Unit2329,Tenant121,12/10/2015,
Unit1661,Tenant122,14/07/1980,
Unit4518,Tenant123,20/06/2016,12/01/2020
Unit4518,Tenant124,24/02/2020,
Unit7710,Tenant125,30/09/2002,
Unit2359,Tenant126,06/07/1998,
Unit742,Tenant127,09/07/2018,
Unit4900,Tenant128,27/03/2017,
Unit8007,Tenant129,03/03/1991,
Unit3919,Tenant130,24/09/2007,
Unit4335,Tenant131,10/05/1993,05/04/2020
Unit4335,Tenant132,07/12/2020,
Unit4335,Tenant133,13/04/2020,19/04/2020
Unit9654,Tenant134,22/08/1994,
Unit6391,Tenant135,11/01/1999,
Unit3774,Tenant136,11/07/2005,
Unit8503,Tenant137,27/03/2017,
Unit970,Tenant138,22/02/2010,
Unit8909,Tenant139,08/11/2004,
Unit7554,Tenant140,23/01/2015,
Unit5352,Tenant141,11/05/1992,
Unit149,Tenant142,10/04/2017,
Unit8380,Tenant143,12/12/2016,
Unit1433,Tenant144,01/11/2004,
Unit5181,Tenant145,11/12/2017,
Unit1005,Tenant146,30/09/2002,
Unit5984,Tenant147,08/02/1988,
Unit7511,Tenant148,11/07/2016,
Unit4754,Tenant149,04/12/2000,
Unit7340,Tenant150,23/07/2018,
Unit6984,Tenant151,04/05/2012,
Unit5392,Tenant152,25/05/2009,
Unit2244,Tenant153,11/11/1996,
Unit5973,Tenant154,11/09/2017,
Unit988,Tenant155,10/10/1994,
Unit6631,Tenant156,18/01/2010,
Unit9846,Tenant157,10/01/2005,
Unit6032,Tenant158,01/04/1991,
Unit3631,Tenant159,30/12/2002,
Unit233,Tenant160,07/08/2006,01/12/2019
Unit233,Tenant161,15/06/2020,
Unit3333,Tenant162,03/10/1977,
Unit6037,Tenant163,16/07/1990,
Unit7412,Tenant164,29/06/2015,
